Name,YMLs,Invalid YMLs,Functions,Plugins,Packages,Global Policy Version,Function Policy Version,YML LOC,Functions Defined Externally,Resources,YMLs with Global Policies,Number of Global Statements,Number of Global Roles,Functions with Policies,Number of Functions with Roles,Number of Function Statements,Allows Invoke,Global Invoke,AWS Lambda Project
/data/serverless-dataset/eventuate-examples/eventuate-examples-java-aws-lambda-todo-list,1,0,3,1,0,Legacy,None,93,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/symfony/recipes-contrib,1,0,2,1,0,None,None,47,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/yehjxraymond/qv-api,1,0,3,3,0,Legacy,None,104,0,0,1,2,0,0,0,0,False,False,True
/data/serverless-dataset/ivarvermeulen/nuxt-serverless-at-edge,1,0,1,2,0,Legacy,None,228,0,0,1,2,0,0,0,0,False,False,True
/data/serverless-dataset/a-h/ddbimport,1,0,2,1,0,Legacy,None,83,0,0,1,3,0,0,0,0,False,False,True
/data/serverless-dataset/nasa/cmr-stac,3,2,1,1,0,None,None,33,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/nasa/Common-Metadata-Repository,1,1,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/nasa/earthdata-search,2,0,0,6,0,None,None,169,1,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/effectivedigital/serverless-templates,3,0,4,0,0,None,None,235,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/ridi/books-frontend,1,0,1,3,0,Legacy,None,69,0,0,1,1,0,0,0,0,True,True,True
/data/serverless-dataset/ridi/select-frontend,1,0,1,2,0,None,None,27,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/gregbarcza/serverless-modern-koa,1,0,2,1,0,None,None,124,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/mamori-i-japan/mamori-i-japan-api,1,0,3,5,0,None,None,96,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/jefer590/serverless-side-nuxtjs-example,1,0,1,1,0,None,None,21,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/ramsaylanier/vue-tutorials,1,0,1,0,0,None,None,69,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/nikita-skobov/collabopath,3,0,10,0,0,None,Default Role-Based,938,0,0,0,0,0,10,10,0,False,False,True
/data/serverless-dataset/itsHabib/api-gateway-rust,1,0,2,1,0,Legacy,None,98,0,0,1,3,0,0,0,0,False,False,True
/data/serverless-dataset/Savjee/trello-weekmenu-lambda,1,0,1,0,0,None,None,22,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/Savjee/home-energy-monitor,1,1,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/manakuro/nextjs-with-aws-lambda-sample,3,0,0,2,0,None,None,59,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/standard-library/wire-o,1,0,1,0,0,Legacy,None,113,0,0,1,3,0,0,0,0,True,True,True
/data/serverless-dataset/StefH/serverless-aws-lambda-typescript-examples,8,0,5,2,0,None,None,328,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/FrontendMasters/serverless-with-aws,1,0,1,1,0,None,None,18,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/nandium/RouteMaker,7,2,27,9,0,None,None,742,0,0,2,6,0,0,0,0,False,False,True
/data/serverless-dataset/aswqazx/lxk0301,1,0,0,0,0,None,None,81,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/CodeRecipe-dev/LambdaToAuroraNoVPC,1,1,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/nordcloud/serverless-jest-plugin,4,0,4,4,0,None,None,352,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/nordcloud/serverless-kms-secrets,1,0,1,1,0,None,None,25,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/nordcloud/aws-codepipeline-cfn-provider,1,0,1,1,0,Legacy,None,76,0,0,1,4,0,0,0,0,False,False,True
/data/serverless-dataset/nordcloud/serverless-mocha-plugin,5,0,5,5,0,None,None,452,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/nordcloud/codepipeline-datadog-events,1,1,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/nordcloud/serverless-boilerplate,1,0,0,6,0,Legacy,None,71,1,0,1,0,0,0,0,0,False,False,True
/data/serverless-dataset/nordcloud/serverless-plugin-additional-stacks,1,0,1,1,0,None,None,128,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/cube-js/cube.js,2,0,3,1,0,Legacy,None,89,0,0,2,2,0,0,0,0,False,False,True
/data/serverless-dataset/saybou/serverless-typescript-aws,1,0,1,1,0,None,None,28,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/skrigs/lambda-apollo-server,1,0,1,1,0,None,None,83,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/wimagguc/node-serverless-reports,1,0,1,0,0,None,None,29,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/mabc224/serverless-node-sequelize-rds-rest-api,1,0,5,0,0,None,None,73,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/3ndG4me/Offensive-Security-Engineering-Udemy,1,0,1,0,0,None,None,121,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/cosmicjs/serverless-starter,1,0,1,1,0,None,None,21,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/zozs/a-wild-button-appears,1,0,1,2,0,Legacy,None,60,0,0,1,1,0,0,0,0,True,True,True
/data/serverless-dataset/stac-utils/stac-server,1,1,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/mikestaub/slack-lunch-club,3,0,5,7,0,None,None,196,0,0,1,3,0,0,0,0,True,True,True
/data/serverless-dataset/josephluck/internote,1,0,0,0,0,None,None,45,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/keitakn/aws-serverless-prototype,1,0,10,2,0,Legacy,None,173,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/krapes/lambdaLoadTesting,1,0,1,0,0,Legacy,None,63,0,0,1,0,0,0,0,0,False,False,True
/data/serverless-dataset/dzimine/slack-signup-serverless,1,0,3,2,0,Legacy,None,116,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/lithin/sls-plugins-example,1,0,2,1,0,None,None,67,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/Musish/Musish,1,0,5,0,0,None,None,44,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/ReutersMedia/sqs-browser-events,2,0,7,0,0,None,None,423,0,0,1,6,0,0,0,0,True,True,True
/data/serverless-dataset/diegozanon/aws-serverless-demo,1,0,1,0,0,Legacy,None,17,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/diegozanon/bombermon,1,0,1,0,0,Legacy,None,31,0,0,1,3,0,0,0,0,False,False,True
/data/serverless-dataset/diegozanon/serverless-notifications,1,0,1,0,0,Legacy,None,32,0,0,1,2,0,0,0,0,False,False,True
/data/serverless-dataset/mozilla/watchdog-proxy,1,0,0,3,0,Legacy,None,66,1,0,1,0,0,0,0,0,False,False,True
/data/serverless-dataset/mozilla/service-map,1,0,3,4,0,Legacy,None,194,0,0,1,15,0,0,0,0,False,False,True
/data/serverless-dataset/briancavalier/fx-ts,1,0,1,1,0,None,None,37,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/rcdexta/lambda-google-sheets,1,0,1,0,0,None,None,110,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/rentrop/serverless-postgraphql,1,0,1,0,0,None,None,111,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/mlafeldt/launchdarkly-dynamo-store,2,0,2,0,0,Legacy,None,92,0,0,2,2,0,0,0,0,False,False,True
/data/serverless-dataset/UKHomeOffice/design-system,1,0,1,0,0,None,None,24,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/FSharpBristol/FSharp-Template-for-Aws-Lambda,1,0,1,0,0,None,None,84,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/GetStream/swift-lambda,2,0,2,0,0,None,None,32,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/GetStream/layer-migration,1,0,2,2,0,None,None,49,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/reapit/foundations,36,0,19,141,0,None,None,4514,0,0,5,6,0,0,0,0,False,False,True
/data/serverless-dataset/sanfrancesco/prerendercloud-lambda-edge,1,0,3,0,0,None,None,76,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/ColinEberhardt/applause-button-server,1,0,5,0,0,Legacy,None,59,0,0,1,2,0,0,0,0,False,False,True
/data/serverless-dataset/ColinEberhardt/rust-webassembly-serverless,1,0,1,0,0,None,None,16,0,0,0,0,0,0,0,0,False,False,True
