YML File,Prolog File,FNs Using Roles,FN Count,Private FN Count,Public FN Count,Resource Count,Public RW Resources,Public RO Resources,Public WO Resources,Private Resources,dynamodb Resources,rds Resources,secretsmanager Resources,route53 Resources,kinesis Resources,s3 Resources,apigateway Resources,sqs Resources,ssm Resources,sdb Resources,event Resources,kms Resources,sns Resources,Global IAM Stmts,Min Stmts Defined Per FN,Max Stmts Defined Per FN,Avg Stmts Defined Per FN,Full Wildcard Resources,Full Wildcard Permissions,Partial Wildcard Resources,Partial Wildcard Permissions,Permission Facts Generated,Min Facts Generated Per FN,Max Facts Generated Per FN,Avg Facts Generated Per FN,Event Triggers,S3 Triggers,IoT Triggers,Stream Msg Triggers,SNS Msg Triggers
/data/serverless-dataset/SC5/serverless-blog-workshop/serverless.yml,/data/results/SC5-serverless-blog-workshop-325.pl,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,11,11,11,11.0,0,0,0,0,0
/data/serverless-dataset/SC5/serverless-messenger-boilerplate/serverless.yml,/data/results/SC5-serverless-messenger-boilerplate-327.pl,0,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,10,5,5,5.0,2,0,0,0,2
/data/serverless-dataset/uport-project/lambda-sensui/serverless.yml,/data/results/uport-project-lambda-sensui-333.pl,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/data/serverless-dataset/codesandbox/screenshotter/serverless.yml,/data/results/codesandbox-screenshotter-334.pl,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,4,4,4.0,0,0,0,0,0
/data/serverless-dataset/codesandbox/dependency-packager/serverless.yml,/data/results/codesandbox-dependency-packager-335.pl,0,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,12,6,6,6.0,0,0,0,0,0
/data/serverless-dataset/danniehansen/activity-timer/serverless.yml,/data/results/danniehansen-activity-timer-336.pl,0,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,5,5,5.0,0,0,0,0,0
/data/serverless-dataset/johnagan/serverless-slackbot/serverless.yml,/data/results/johnagan-serverless-slackbot-344.pl,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7,7,7,7.0,1,0,0,0,1
/data/serverless-dataset/johnagan/serverless-slack-app/serverless.yml,/data/results/johnagan-serverless-slack-app-345.pl,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,7,7,7.0,0,0,0,0,0
/data/serverless-dataset/johnagan/slack-devkit/examples/serverless.example.yml,/data/results/johnagan-slack-devkit-346.pl,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,7,7,7.0,0,0,0,0,0
/data/serverless-dataset/3box/3box-address-server/serverless.yml,/data/results/3box-3box-address-server-348.pl,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/jonatassaraiva/microservice-serverless-lambda-nodejs/serverless.yml,/data/results/jonatassaraiva-microservice-serverless-lambda-nodejs-355.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/diego3g/nivo/serverless.yml,/data/results/diego3g-nivo-358.pl,0,2,2,0,6,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,1,2,3,2.5,3,0,3,0,15,6,9,7.5,0,0,0,0,0
/data/serverless-dataset/UnlyEd/airtable-backups-boilerplate/serverless.yml,/data/results/UnlyEd-airtable-backups-boilerplate-361.pl,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
/data/serverless-dataset/nerdguru/go-sls-crudl/serverless.yml,/data/results/nerdguru-go-sls-crudl-365.pl,0,5,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,35,7,7,7.0,0,0,0,0,0
/data/serverless-dataset/nerdguru/serverlessTodos/serverless.yml,/data/results/nerdguru-serverlessTodos-366.pl,0,5,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,35,7,7,7.0,0,0,0,0,0
/data/serverless-dataset/0x4D31/honeyLambda/serverless.yml,/data/results/0x4D31-honeyLambda-367.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/breath103/serverless-websocket-example/serverless.yml,/data/results/breath103-serverless-websocket-example-374.pl,0,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,24,12,12,12.0,0,0,0,0,0
